Age,Gender,EducationBackground,MaritalStatus,EmpDepartment,EmpJobRole,BusinessTravelFrequency,DistanceFromHome,EmpEducationLevel,EmpEnvironmentSatisfaction,EmpHourlyRate,EmpJobInvolvement,EmpJobLevel,EmpJobSatisfaction,NumCompaniesWorked,OverTime,EmpLastSalaryHikePercent,EmpRelationshipSatisfaction,TotalWorkExperienceInYears,TrainingTimesLastYear,EmpWorkLifeBalance,ExperienceYearsAtThisCompany,ExperienceYearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Attrition,PerformanceRating
45,Female,Life Sciences,Married,Sales,Manager,Travel_Rarely,11,2,4,90,3,4,4,3,No,13,2,26,4,4,9,3,1,1,No,3
32,Female,Medical,Single,Research & Development,Senior Manager R&D,Non-Travel,29,4,4,69,3,1,3,9,No,12,2,10,2,3,8,7,7,7,No,3
34,Male,Marketing,Divorced,Sales,Sales Executive,Travel_Rarely,1,4,2,75,4,2,4,0,No,11,4,16,2,2,15,1,0,9,No,3
59,Male,Technical Degree,Married,Sales,Manager,Travel_Rarely,1,2,2,66,3,3,4,3,Yes,14,3,14,1,1,6,4,0,4,No,3
45,Male,Medical,Single,Human Resources,Human Resources,Travel_Rarely,24,4,2,36,3,1,2,1,No,16,1,6,3,3,6,3,0,4,No,3
36,Male,Other,Divorced,Research & Development,Laboratory Technician,Travel_Rarely,15,3,1,81,3,2,3,7,No,14,2,9,3,2,1,0,0,0,Yes,3
26,Male,Life Sciences,Married,Research & Development,Research Scientist,Travel_Frequently,2,3,1,57,3,1,1,6,Yes,14,2,6,2,3,3,2,1,2,Yes,2
28,Male,Medical,Married,Sales,Sales Representative,Travel_Rarely,10,1,4,74,3,1,2,1,No,22,2,1,5,3,1,0,0,0,No,4
38,Male,Other,Married,Research & Development,Senior Manager R&D,Travel_Frequently,3,4,3,44,3,1,3,3,No,16,1,8,2,3,2,2,2,2,No,3
50,Male,Medical,Married,Research & Development,Senior Manager R&D,Travel_Rarely,2,4,2,62,3,5,3,2,Yes,11,4,29,2,2,8,1,7,7,No,3
37,Female,Other,Single,Research & Development,Healthcare Representative,Travel_Rarely,3,3,4,35,3,2,2,3,No,15,1,8,3,2,4,3,0,1,No,3
40,Male,Marketing,Married,Sales,Sales Executive,Travel_Rarely,26,3,3,74,3,2,1,1,No,14,2,8,3,2,7,7,7,5,No,3
26,Female,Medical,Divorced,Research & Development,Research Scientist,Travel_Frequently,1,1,1,66,2,1,3,1,No,13,3,5,5,3,5,3,1,3,No,2
54,Female,Life Sciences,Married,Sales,Sales Executive,Travel_Rarely,2,4,3,41,2,3,3,6,No,11,2,13,4,3,9,4,7,0,No,3
56,Female,Medical,Married,Research & Development,Senior Manager R&D,Travel_Frequently,9,3,1,63,3,1,3,2,No,19,2,18,4,3,5,4,0,3,No,3
36,Female,Medical,Single,Research & Development,Manufacturing Director,Travel_Rarely,12,5,4,51,2,3,4,0,No,11,2,15,2,2,14,8,7,8,No,3
55,Male,Medical,Single,Research & Development,Manager,Non-Travel,2,1,3,40,2,4,1,7,No,15,2,31,3,4,9,7,6,2,No,4
43,Male,Medical,Divorced,Sales,Sales Executive,Travel_Rarely,25,3,3,79,2,3,4,5,No,13,3,18,5,3,1,0,0,0,No,3
20,Female,Marketing,Single,Sales,Sales Representative,Travel_Frequently,9,3,4,54,3,1,4,1,Yes,14,2,2,3,3,2,2,0,2,Yes,3
21,Female,Life Sciences,Single,Research & Development,Senior Manager R&D,Travel_Rarely,10,3,3,36,2,1,1,1,No,13,1,1,6,2,1,0,1,0,Yes,3
46,Female,Life Sciences,Divorced,Research & Development,Senior Manager R&D,Travel_Rarely,8,4,4,74,2,2,1,8,Yes,23,1,19,2,3,16,13,1,7,No,4
28,Male,Technical Degree,Single,Research & Development,Senior Manager R&D,Non-Travel,24,2,2,72,2,3,1,1,No,12,1,10,2,2,10,7,1,9,Yes,2
26,Male,Medical,Married,Research & Development,Laboratory Technician,Travel_Rarely,1,2,1,59,2,1,1,1,No,16,1,6,2,3,5,3,1,3,No,2
30,Male,Other,Married,Research & Development,Senior Manager R&D,Travel_Rarely,20,3,3,85,3,2,1,0,No,15,3,7,1,2,6,2,0,2,No,3
38,Female,Life Sciences,Married,Research & Development,Healthcare Representative,Travel_Rarely,17,1,3,65,2,3,3,0,No,18,1,20,4,2,19,9,1,9,No,3
40,Male,Technical Degree,Married,Research & Development,Senior Manager R&D,Travel_Rarely,20,4,1,61,3,3,4,4,No,20,4,14,6,3,11,10,11,1,No,2
27,Male,Life Sciences,Married,Research & Development,Senior Manager R&D,Non-Travel,8,5,1,87,1,1,3,1,No,19,4,3,4,3,3,2,1,2,No,2
55,Male,Life Sciences,Married,Research & Development,Manager R&D,Travel_Frequently,2,1,4,65,3,3,2,3,No,18,2,23,4,3,3,2,1,2,No,3
44,Male,Medical,Married,Human Resources,Human Resources,Travel_Rarely,1,2,2,91,2,3,1,9,No,14,4,24,1,3,20,6,3,6,Yes,2
33,Female,Medical,Single,Research & Development,Research Scientist,Travel_Frequently,29,4,1,54,2,2,3,1,No,22,2,14,4,3,13,7,3,8,Yes,2
34,Male,Life Sciences,Single,Research & Development,Healthcare Representative,Travel_Frequently,3,1,1,45,3,2,4,0,No,17,3,7,1,2,6,2,0,4,No,3
25,Male,Technical Degree,Married,Research & Development,Manager R&D,Travel_Rarely,4,1,4,32,3,1,4,1,Yes,15,2,7,3,4,7,7,5,6,Yes,3
26,Male,Medical,Divorced,Research & Development,Manager R&D,Travel_Rarely,21,3,1,37,3,1,3,1,No,20,3,1,0,2,1,1,0,0,Yes,4
42,Male,Medical,Married,Research & Development,Manager,Travel_Rarely,2,2,4,35,3,4,1,0,No,17,4,23,3,3,22,6,13,7,No,3
28,Male,Medical,Divorced,Research & Development,Manager R&D,Travel_Frequently,1,3,1,45,2,1,2,1,No,15,1,1,2,3,1,0,0,0,Yes,3
50,Male,Other,Single,Sales,Sales Executive,Travel_Frequently,1,4,4,81,3,2,3,3,Yes,14,4,5,4,3,0,0,0,0,Yes,3
33,Female,Life Sciences,Married,Sales,Sales Executive,Travel_Frequently,7,3,4,30,3,2,2,0,No,17,3,4,3,3,3,2,0,2,No,3
34,Male,Life Sciences,Married,Research & Development,Research Scientist,Non-Travel,3,4,3,40,2,1,4,3,No,17,4,6,2,3,0,0,0,0,No,3
48,Male,Medical,Single,Research & Development,Manager R&D,Non-Travel,1,4,1,35,4,4,4,2,No,22,3,27,3,2,5,4,2,1,No,2
45,Female,Life Sciences,Married,Sales,Sales Executive,Non-Travel,9,4,2,65,2,2,3,1,No,13,4,15,2,3,15,10,4,12,No,2
52,Male,Life Sciences,Single,Research & Development,Healthcare Representative,Travel_Rarely,7,4,2,87,3,3,2,7,No,19,4,18,4,3,8,6,4,0,No,2
38,Male,Marketing,Divorced,Sales,Sales Executive,Travel_Rarely,10,4,3,73,2,3,3,0,Yes,14,2,9,2,3,8,7,2,7,No,3
29,Female,Life Sciences,Divorced,Research & Development,Manager R&D,Travel_Rarely,28,4,3,93,3,1,4,4,No,22,1,11,1,3,7,5,1,7,No,4
28,Female,Medical,Divorced,Research & Development,Manufacturing Director,Travel_Rarely,3,3,4,93,3,3,2,0,No,17,2,10,3,2,9,7,1,7,No,3
46,Male,Marketing,Married,Sales,Manager,Travel_Rarely,3,1,1,52,3,4,3,3,No,12,4,23,3,3,12,9,4,9,No,2
38,Male,Marketing,Single,Sales,Sales Executive,Travel_Rarely,2,2,4,32,3,3,2,7,No,16,3,10,2,3,1,0,0,0,No,3
39,Male,Life Sciences,Divorced,Research & Development,Healthcare Representative,Travel_Frequently,2,3,1,84,3,4,4,7,No,11,4,21,4,3,18,7,11,5,Yes,2
40,Male,Medical,Single,Research & Development,Manager R&D,Travel_Rarely,14,3,3,44,2,5,3,1,No,14,1,21,2,4,20,7,4,9,No,3
39,Male,Life Sciences,Single,Research & Development,Laboratory Technician,Non-Travel,9,3,3,70,3,2,2,9,No,15,3,9,2,2,5,4,0,3,No,3
36,Male,Life Sciences,Single,Research & Development,Manufacturing Director,Non-Travel,18,4,1,78,3,2,4,2,No,20,1,18,0,3,11,9,0,9,No,3
31,Male,Life Sciences,Married,Sales,Sales Representative,Travel_Frequently,20,3,3,67,4,1,4,0,No,12,1,3,4,3,2,2,2,2,No,3
28,Male,Life Sciences,Married,Research & Development,Manager R&D,Travel_Rarely,2,1,1,67,2,1,2,0,No,17,1,6,2,1,5,3,0,4,No,3
35,Male,Marketing,Divorced,Sales,Sales Executive,Travel_Frequently,11,2,4,54,3,2,4,1,No,11,4,5,3,3,5,2,0,2,No,3
49,Male,Technical Degree,Married,Sales,Sales Executive,Travel_Rarely,8,4,4,56,2,4,2,6,No,17,2,22,3,3,9,8,2,3,No,3
34,Male,Life Sciences,Single,Research & Development,Manager R&D,Travel_Frequently,2,2,4,95,3,2,3,2,No,11,4,5,3,2,3,2,0,2,No,3
29,Female,Life Sciences,Divorced,Research & Development,Research Scientist,Travel_Frequently,10,3,4,61,3,1,2,0,No,14,4,8,2,2,7,5,1,1,No,3
42,Male,Medical,Single,Research & Development,Laboratory Technician,Travel_Rarely,29,3,2,56,1,2,4,4,No,19,1,16,3,3,1,0,0,0,No,3
29,Male,Medical,Married,Research & Development,Manufacturing Director,Travel_Rarely,8,1,2,79,2,2,4,1,Yes,15,3,10,2,2,10,7,1,2,No,2
28,Male,Life Sciences,Divorced,Research & Development,Research Scientist,Travel_Frequently,6,3,3,39,2,1,3,1,Yes,14,4,3,2,3,3,1,0,2,No,3
18,Male,Medical,Single,Research & Development,Laboratory Technician,Non-Travel,8,1,3,80,3,1,3,1,No,12,4,0,0,3,0,0,0,0,Yes,3
33,Female,Marketing,Single,Sales,Sales Executive,Travel_Rarely,9,4,1,77,3,2,1,0,Yes,17,1,6,3,3,5,2,0,3,Yes,3
41,Male,Life Sciences,Married,Research & Development,Laboratory Technician,Travel_Rarely,12,4,2,46,3,1,4,3,Yes,11,1,6,4,3,1,0,0,0,No,3
31,Male,Medical,Married,Research & Development,Laboratory Technician,Travel_Frequently,15,3,3,72,3,1,3,1,No,12,3,2,5,2,2,2,2,2,Yes,3
37,Female,Medical,Divorced,Research & Development,Healthcare Representative,Travel_Rarely,25,2,3,52,2,2,4,7,No,13,3,9,2,3,6,2,1,3,No,3
27,Male,Life Sciences,Married,Research & Development,Research Scientist,Travel_Rarely,6,3,4,55,2,1,3,1,No,13,3,4,0,3,4,2,2,2,No,3
34,Female,Life Sciences,Married,Sales,Sales Executive,Travel_Rarely,9,1,2,70,3,2,3,1,No,20,1,6,3,2,6,5,1,3,No,2
35,Male,Technical Degree,Single,Human Resources,Human Resources,Travel_Rarely,8,4,3,100,3,1,3,1,No,17,2,6,2,1,5,4,1,4,No,2
29,Female,Life Sciences,Married,Sales,Sales Executive,Travel_Rarely,23,1,4,45,2,3,1,1,No,13,1,11,3,1,11,8,3,10,Yes,2
40,Female,Medical,Single,Research & Development,Research Director,Travel_Frequently,9,4,2,88,3,3,3,9,No,17,3,20,3,2,18,7,2,13,No,2
42,Male,Life Sciences,Single,Sales,Sales Executive,Travel_Frequently,12,3,3,44,3,4,1,0,Yes,12,2,22,2,2,21,9,13,14,Yes,3
42,Male,Marketing,Single,Sales,Sales Executive,Travel_Rarely,4,4,2,45,3,2,1,7,No,13,4,9,3,4,6,4,1,5,No,4
24,Male,Medical,Single,Research & Development,Laboratory Technician,Travel_Rarely,24,3,4,49,3,1,2,8,No,22,4,6,2,3,4,3,1,2,No,4
28,Female,Life Sciences,Married,Research & Development,Manager R&D,Travel_Rarely,12,1,3,79,3,1,4,1,Yes,11,4,1,4,2,1,1,0,0,Yes,3
26,Male,Medical,Married,Research & Development,Manager R&D,Travel_Rarely,3,4,1,82,4,1,4,1,No,22,2,8,2,3,8,7,0,7,No,3
30,Male,Marketing,Married,Sales,Sales Executive,Travel_Rarely,10,3,3,72,2,2,3,1,No,18,1,10,3,3,10,3,1,4,No,3
40,Female,Medical,Married,Research & Development,Research Scientist,Travel_Frequently,26,2,3,92,2,2,4,3,Yes,13,4,16,3,1,1,1,0,0,No,3
35,Male,Life Sciences,Divorced,Research & Development,Manufacturing Director,Travel_Rarely,2,3,3,44,2,3,2,2,No,18,2,15,2,4,7,7,6,4,No,3
34,Male,Medical,Single,Research & Development,Healthcare Representative,Travel_Frequently,1,3,4,97,2,2,1,0,No,20,3,14,3,3,13,9,4,9,No,4
35,Male,Other,Married,Research & Development,Laboratory Technician,Travel_Frequently,4,4,4,47,2,1,4,1,No,13,2,2,2,4,2,2,2,2,No,3
43,Female,Marketing,Single,Sales,Sales Executive,Travel_Rarely,9,3,1,85,1,2,3,8,No,13,2,7,2,2,4,3,1,3,Yes,2
32,Female,Life Sciences,Divorced,Sales,Sales Representative,Non-Travel,2,1,3,76,3,1,1,1,No,12,3,1,3,3,1,0,0,0,No,3
56,Female,Technical Degree,Divorced,Research & Development,Manager,Travel_Rarely,4,4,4,92,3,5,1,4,No,13,4,28,2,3,5,2,4,2,No,3
29,Female,Medical,Married,Research & Development,Manager R&D,Travel_Rarely,6,1,2,54,3,1,4,1,No,13,1,10,5,3,10,8,0,8,No,3
19,Male,Life Sciences,Single,Research & Development,Research Scientist,Travel_Rarely,9,2,3,54,3,1,1,1,No,25,3,1,4,3,1,1,0,0,No,4
45,Female,Medical,Married,Research & Development,Manager R&D,Travel_Rarely,7,3,1,83,3,1,3,4,Yes,19,3,7,2,2,3,2,0,2,No,3
37,Female,Life Sciences,Married,Research & Development,Manufacturing Director,Travel_Rarely,1,3,4,56,2,2,4,1,No,13,2,14,2,2,14,8,3,11,No,3
44,Male,Life Sciences,Single,Research & Development,Manager R&D,Travel_Rarely,10,4,3,96,3,1,3,1,Yes,11,3,6,4,3,6,4,0,2,Yes,3
53,Female,Medical,Divorced,Research & Development,Manager R&D,Travel_Rarely,7,2,4,50,3,5,3,3,No,18,2,26,6,3,7,7,4,7,No,3
22,Male,Life Sciences,Married,Research & Development,Manager R&D,Travel_Frequently,3,4,3,48,2,1,4,0,Yes,11,2,1,5,3,0,0,0,0,Yes,3
46,Female,Marketing,Married,Sales,Manager,Travel_Rarely,2,3,3,69,3,4,1,8,No,23,1,28,2,3,26,15,15,9,No,4
44,Male,Life Sciences,Single,Research & Development,Research Scientist,Non-Travel,17,3,4,74,1,1,3,2,No,13,4,6,3,3,0,0,0,0,No,3
33,Male,Human Resources,Married,Human Resources,Human Resources,Travel_Rarely,2,3,2,99,3,1,3,1,No,13,4,5,2,3,5,4,1,4,No,2
30,Male,Life Sciences,Divorced,Sales,Sales Executive,Travel_Rarely,29,4,3,61,3,2,1,8,No,19,3,8,3,3,4,3,0,3,No,3
40,Male,Medical,Married,Sales,Sales Executive,Travel_Frequently,2,4,2,62,3,2,2,5,No,12,4,5,2,3,0,0,0,0,No,3
50,Female,Medical,Married,Research & Development,Manager R&D,Travel_Frequently,2,3,4,30,3,4,1,2,No,22,3,32,3,3,2,2,2,2,No,4
46,Male,Life Sciences,Married,Research & Development,Manager R&D,Travel_Rarely,15,2,4,52,3,5,2,5,No,11,1,25,2,3,4,2,0,3,No,3
35,Male,Life Sciences,Married,Sales,Sales Executive,Travel_Rarely,17,4,3,94,3,2,1,3,Yes,15,4,15,2,3,7,7,1,7,No,3
24,Female,Life Sciences,Married,Research & Development,Laboratory Technician,Travel_Rarely,17,2,4,97,3,1,2,1,No,13,1,1,3,1,1,0,0,0,Yes,3
33,Female,Medical,Married,Sales,Sales Executive,Travel_Frequently,25,3,2,82,3,2,3,1,No,12,1,10,3,2,10,7,0,1,No,3
36,Male,Life Sciences,Divorced,Research & Development,Laboratory Technician,Travel_Rarely,6,4,3,60,1,1,3,1,No,14,3,7,4,3,7,7,1,7,No,3
44,Male,Other,Single,Research & Development,Research Scientist,Travel_Rarely,29,4,4,32,3,2,4,1,No,25,2,20,3,3,20,11,13,17,No,4
42,Male,Medical,Married,Human Resources,Human Resources,Non-Travel,2,5,4,79,4,2,1,7,No,16,1,10,3,4,4,3,0,3,No,4
32,Female,Other,Married,Research & Development,Laboratory Technician,Travel_Frequently,13,3,3,77,2,1,2,1,No,20,3,2,2,3,2,2,2,2,No,4
32,Female,Life Sciences,Single,Research & Development,Manager R&D,Travel_Frequently,2,2,4,38,3,2,3,4,Yes,14,4,10,2,3,8,7,0,7,No,3
36,Female,Technical Degree,Divorced,Research & Development,Manufacturing Director,Travel_Rarely,1,3,3,77,1,3,1,2,Yes,21,3,17,2,3,7,7,7,7,No,4
33,Male,Medical,Married,Research & Development,Research Scientist,Travel_Rarely,9,3,1,60,3,1,4,0,No,13,2,15,5,3,14,10,4,10,No,2
25,Male,Life Sciences,Single,Sales,Sales Executive,Travel_Rarely,10,4,3,57,3,2,4,0,No,14,2,5,4,3,4,3,1,1,No,3
42,Female,Medical,Married,Research & Development,Research Director,Travel_Frequently,26,5,1,60,3,3,1,3,Yes,17,3,20,6,3,1,0,0,0,No,3
27,Male,Life Sciences,Married,Research & Development,Manager R&D,Travel_Rarely,14,3,1,42,3,1,1,1,Yes,14,4,9,3,2,9,7,6,8,No,2
54,Female,Life Sciences,Divorced,Research & Development,Manufacturing Director,Travel_Frequently,1,4,4,53,3,3,3,7,No,17,1,33,2,1,5,4,1,4,No,3
44,Female,Life Sciences,Married,Research & Development,Manager R&D,Travel_Rarely,2,1,1,72,4,1,4,1,No,13,4,10,5,3,10,5,7,7,No,2
19,Female,Medical,Single,Research & Development,Research Scientist,Non-Travel,10,3,1,96,2,1,2,1,Yes,25,2,1,2,4,1,1,0,0,Yes,4
54,Male,Life Sciences,Married,Research & Development,Research Director,Travel_Rarely,3,3,4,85,3,4,4,3,No,14,1,36,2,3,10,9,0,9,No,3
31,Male,Medical,Married,Research & Development,Manager R&D,Travel_Rarely,11,2,3,80,3,2,1,1,Yes,12,4,6,2,2,6,5,0,1,No,3
43,Male,Life Sciences,Married,Research & Development,Research Director,Travel_Rarely,3,3,3,96,1,5,4,3,No,14,2,25,2,3,8,7,0,7,No,3
49,Male,Medical,Married,Research & Development,Manager R&D,Travel_Rarely,4,2,1,85,2,5,3,2,No,13,3,23,2,4,1,0,0,0,No,3
36,Male,Technical Degree,Married,Research & Development,Research Scientist,Travel_Frequently,3,3,3,46,3,1,2,1,No,12,3,12,2,2,11,10,0,7,No,3
48,Male,Technical Degree,Single,Research & Development,Laboratory Technician,Travel_Rarely,2,2,4,76,4,1,2,5,No,11,3,7,4,2,1,0,0,0,No,3
29,Male,Life Sciences,Divorced,Research & Development,Manager R&D,Travel_Rarely,7,3,3,82,3,2,4,1,Yes,11,2,6,2,3,6,0,1,0,No,3
48,Male,Life Sciences,Single,Research & Development,Research Director,Travel_Rarely,1,3,4,76,2,5,4,6,No,12,3,25,3,4,1,0,0,0,No,4
29,Female,Life Sciences,Divorced,Research & Development,Research Director,Travel_Rarely,1,3,4,87,2,4,4,3,No,14,2,9,2,2,7,7,1,7,No,3
44,Male,Marketing,Married,Sales,Manager,Travel_Rarely,5,3,2,88,3,5,2,7,No,11,3,26,5,3,22,9,3,10,No,2
23,Male,Life Sciences,Married,Research & Development,Research Scientist,Travel_Rarely,1,2,4,47,3,1,3,1,No,22,4,1,2,3,1,0,0,1,No,4
26,Male,Life Sciences,Single,Research & Development,Research Scientist,Travel_Rarely,4,2,3,53,3,1,4,1,Yes,20,2,8,2,2,8,5,2,2,No,4
45,Female,Marketing,Single,Sales,Manager,Travel_Rarely,2,3,1,94,1,5,2,2,Yes,16,1,26,2,3,24,10,1,11,Yes,2
55,Male,Medical,Divorced,Research & Development,Healthcare Representative,Non-Travel,8,1,4,37,2,4,2,1,Yes,15,4,34,3,3,33,9,15,0,No,3
21,Female,Life Sciences,Single,Research & Development,Laboratory Technician,Travel_Frequently,10,2,1,45,2,1,3,1,No,20,3,2,2,1,2,2,2,2,Yes,2
46,Female,Marketing,Married,Sales,Manager,Travel_Rarely,4,2,4,33,2,5,2,2,No,14,3,26,2,3,11,4,0,8,No,3
34,Female,Marketing,Single,Sales,Sales Executive,Travel_Rarely,2,3,3,86,3,2,1,0,Yes,12,4,4,3,3,3,2,0,2,No,3
51,Male,Life Sciences,Divorced,Sales,Manager,Travel_Frequently,9,3,4,83,3,5,2,4,Yes,24,1,31,5,2,29,10,11,10,No,4
59,Male,Medical,Single,Research & Development,Manager R&D,Travel_Rarely,18,4,4,67,3,3,4,6,No,12,4,25,6,2,9,7,5,4,No,3
34,Female,Medical,Divorced,Research & Development,Laboratory Technician,Travel_Frequently,19,3,3,46,3,2,2,4,No,13,3,15,2,4,11,8,5,10,No,3
28,Male,Medical,Single,Research & Development,Laboratory Technician,Travel_Frequently,1,4,4,44,3,1,3,0,Yes,11,3,5,2,2,4,2,0,2,No,3
44,Male,Life Sciences,Divorced,Research & Development,Manager R&D,Travel_Rarely,4,2,3,92,4,5,1,1,No,14,4,26,4,2,25,9,14,13,No,3
34,Male,Life Sciences,Married,Human Resources,Human Resources,Travel_Frequently,11,3,3,56,2,2,2,4,No,11,4,14,5,4,10,9,1,8,No,3
35,Male,Life Sciences,Married,Research & Development,Research Scientist,Travel_Rarely,6,1,3,66,3,1,3,0,Yes,14,4,4,3,3,3,2,2,2,No,3
42,Female,Medical,Married,Research & Development,Research Scientist,Travel_Rarely,7,4,2,78,4,2,2,6,Yes,16,4,18,2,3,1,0,0,0,No,3
43,Female,Marketing,Single,Sales,Sales Executive,Travel_Rarely,4,4,4,56,2,3,4,3,No,14,4,23,3,4,21,7,15,17,No,3
36,Female,Life Sciences,Single,Research & Development,Manufacturing Director,Travel_Rarely,2,4,3,53,3,2,2,9,Yes,11,4,18,2,3,16,14,5,12,No,3
28,Male,Life Sciences,Married,Research & Development,Laboratory Technician,Travel_Frequently,2,3,4,52,2,1,4,1,Yes,12,2,2,2,3,2,2,2,2,No,3
51,Female,Medical,Single,Research & Development,Laboratory Technician,Travel_Frequently,6,2,2,40,2,1,3,0,No,14,2,8,6,2,7,0,7,7,No,3
30,Female,Medical,Single,Research & Development,Manufacturing Director,Non-Travel,9,2,3,72,3,2,3,7,Yes,18,3,10,3,3,8,4,1,7,No,3
29,Female,Technical Degree,Divorced,Research & Development,Laboratory Technician,Travel_Rarely,7,3,2,39,3,1,3,3,Yes,13,1,10,2,3,7,7,7,7,Yes,2
28,Male,Technical Degree,Single,Research & Development,Research Scientist,Travel_Rarely,1,3,4,84,3,1,1,2,No,11,2,5,2,2,3,2,1,2,No,3
25,Female,Medical,Single,Research & Development,Research Scientist,Travel_Rarely,1,3,4,40,3,1,2,1,No,18,4,2,3,2,2,2,2,1,No,3
32,Male,Medical,Married,Sales,Sales Executive,Travel_Rarely,8,3,3,56,4,2,4,1,No,15,3,10,4,4,10,7,0,8,No,3
45,Female,Medical,Single,Research & Development,Manager,Travel_Frequently,25,3,2,83,3,5,2,3,No,22,3,22,4,3,0,0,0,0,No,4
39,Female,Medical,Divorced,Research & Development,Manager,Travel_Rarely,13,4,3,94,2,4,2,6,Yes,13,4,21,4,3,19,9,15,2,No,3
58,Male,Life Sciences,Divorced,Research & Development,Research Scientist,Travel_Rarely,23,4,1,88,3,1,3,1,No,12,4,2,3,3,2,2,2,2,No,2
32,Male,Life Sciences,Married,Research & Development,Manager R&D,Travel_Rarely,7,2,4,79,3,2,3,1,No,18,1,10,3,3,10,4,1,1,Yes,3
36,Female,Technical Degree,Married,Research & Development,Healthcare Representative,Travel_Rarely,10,4,4,63,3,3,3,3,No,12,1,10,0,3,7,7,1,7,No,3
46,Female,Life Sciences,Single,Human Resources,Human Resources,Travel_Rarely,1,2,4,44,3,1,1,6,No,12,3,10,3,4,7,6,5,7,No,3
28,Female,Life Sciences,Married,Research & Development,Manager R&D,Non-Travel,1,3,3,55,1,2,4,0,No,11,1,10,6,3,9,8,7,5,No,3
50,Female,Life Sciences,Married,Research & Development,Manager R&D,Travel_Rarely,28,3,4,43,3,4,1,4,Yes,11,2,25,2,3,3,2,1,2,No,3
40,Male,Marketing,Single,Sales,Sales Executive,Travel_Rarely,25,4,4,57,2,3,2,2,Yes,12,3,9,2,3,5,4,1,0,Yes,3
52,Male,Life Sciences,Single,Sales,Sales Executive,Travel_Rarely,5,3,2,64,3,3,2,9,Yes,19,3,10,2,2,8,7,7,7,Yes,2
31,Female,Life Sciences,Divorced,Sales,Sales Executive,Non-Travel,2,4,4,57,3,3,3,1,Yes,19,1,10,5,2,10,8,9,6,No,3
41,Male,Medical,Single,Sales,Sales Executive,Non-Travel,10,2,3,40,1,2,2,1,No,13,1,19,4,3,19,2,11,9,No,3
55,Female,Medical,Married,Research & Development,Manager,Travel_Rarely,2,2,4,58,1,5,3,4,No,14,4,23,5,3,19,9,9,11,No,3
56,Male,Life Sciences,Single,Human Resources,Manager,Travel_Rarely,8,4,4,99,3,5,2,6,No,14,1,36,4,3,7,3,7,7,No,3
40,Male,Life Sciences,Divorced,Research & Development,Research Scientist,Non-Travel,16,2,3,74,3,1,3,9,No,16,2,6,0,3,4,2,0,0,No,3
34,Male,Life Sciences,Divorced,Research & Development,Healthcare Representative,Travel_Rarely,9,3,4,86,3,3,4,0,No,11,4,10,0,2,9,7,1,6,No,3
41,Female,Marketing,Divorced,Sales,Sales Executive,Travel_Frequently,1,3,3,66,3,2,1,0,No,17,4,10,2,3,9,3,1,7,No,3
35,Male,Life Sciences,Single,Research & Development,Research Scientist,Travel_Frequently,4,4,3,87,3,2,3,1,Yes,11,2,9,3,3,9,6,1,1,No,3
51,Male,Life Sciences,Divorced,Human Resources,Manager,Travel_Rarely,5,3,3,84,3,4,2,1,Yes,11,2,33,2,3,33,9,0,10,No,3
38,Female,Life Sciences,Divorced,Sales,Sales Executive,Travel_Rarely,2,2,2,31,3,2,1,3,No,15,4,11,3,3,7,7,1,7,No,2
34,Female,Medical,Single,Sales,Sales Executive,Travel_Rarely,15,2,3,66,3,2,1,1,No,12,4,10,6,4,10,8,9,6,No,3
25,Male,Medical,Married,Research & Development,Laboratory Technician,Travel_Rarely,19,1,4,67,3,1,4,3,No,11,3,7,6,2,3,2,1,2,No,3
58,Female,Medical,Married,Research & Development,Manufacturing Director,Travel_Rarely,7,4,3,53,2,3,1,7,Yes,14,4,31,0,2,10,9,5,9,Yes,3
40,Male,Life Sciences,Married,Research & Development,Laboratory Technician,Travel_Rarely,1,4,2,88,3,1,2,3,No,22,3,7,3,3,4,2,0,3,No,3
36,Female,Marketing,Married,Sales,Sales Executive,Travel_Frequently,7,3,1,83,4,2,1,2,No,16,4,17,2,2,15,7,6,13,No,2
48,Male,Life Sciences,Single,Research & Development,Manufacturing Director,Travel_Rarely,4,3,4,54,3,3,4,1,No,11,3,11,2,3,10,9,0,8,No,3
27,Female,Medical,Married,Sales,Sales Representative,Travel_Rarely,11,3,3,98,4,1,4,8,No,14,2,5,4,3,1,0,0,0,No,3
51,Female,Technical Degree,Single,Research & Development,Manager R&D,Travel_Rarely,11,2,4,82,2,4,2,3,No,16,2,29,1,2,5,2,0,3,No,3
18,Female,Life Sciences,Single,Research & Development,Manager R&D,Non-Travel,1,3,4,97,3,1,4,1,No,15,3,0,5,4,0,0,0,0,No,4
35,Female,Medical,Married,Research & Development,Laboratory Technician,Travel_Rarely,1,3,4,60,2,2,4,0,No,12,2,10,0,3,9,7,0,0,No,3
27,Male,Life Sciences,Single,Sales,Sales Executive,Travel_Frequently,2,1,4,43,1,2,4,3,No,20,2,8,3,3,6,2,0,0,No,4
55,Male,Marketing,Single,Sales,Sales Executive,Travel_Rarely,13,4,1,85,4,4,3,6,Yes,17,3,24,2,2,19,7,3,8,Yes,2
56,Male,Life Sciences,Married,Research & Development,Manager R&D,Travel_Rarely,23,3,4,68,3,4,2,4,Yes,12,1,33,0,3,19,16,15,9,No,3
